country,pop,density pop,sex ratio,gdp,gdp_percap,%agric,%indust,%services,unemployment,exports,imports,%urbanpop,fertility,inf_mort,internet,exp_fem,exp_male,cat
Cyprus,1180,127.7,100.2,19561,21941.9,2.3,10.6,87.2,10.3,1920,6604,66.9,1.4,4.2,72,82.2,77.7,2
Czechia,10618,137.5,96.7,185156,17561.7,2.5,37.8,59.7,3.9,161248,140316,73,1.5,2.5,53,81.2,75.1,2
Democratic Republic of the Congo,81340,35.9,99.6,37569,486.2,19.9,44.2,35.9,3.6,5103,5906,42.5,6.4,73.2,349,59.5,56.7,4
Denmark,5734,135.1,99,301308,53149.3,1.2,22.9,75.8,6,94355,85133,87.7,1.7,3.5,47,82.2,78.1,1
Djibouti,957,41.3,100.7,1737,1956.3,3.3,21.4,75.3,6.6,134,987,77.3,3.1,55.3,98,63.2,60,4
Dominican Republic,10767,222.8,99.2,67103,6373.6,6.6,28,65.4,14.4,3747,22725,79,2.5,25.1,184,76.4,70.2,3
Ecuador,16625,66.9,99.9,100177,6205.1,10.1,34.1,55.8,5.8,16798,16189,63.7,2.6,21.1,2358,78.4,72.8,2
Egypt,97553,98,102.3,315917,3452.3,11.2,36.3,52.5,11.5,22507,58053,43.1,3.4,18.9,156,73,68.7,3
El Salvador,6378,307.8,88.5,25850,4219.4,10.8,25.8,63.3,6.4,5335,9855,66.7,2.2,17,86,77.1,67.9,3
Equatorial Guinea,1268,45.2,124,13812,16344.1,1.2,73.1,25.7,7.7,7443,5456,39.9,5,70,177,58.4,55.5,4
Eritrea,5069,50.2,100.4,4783,914.9,17.2,23.5,59.3,7.3,16,3325,22.6,4.4,45,122,65.6,61.4,4
Estonia,1310,30.9,88.2,22460,17112,3.4,27.4,69.2,7.2,13952,15759,67.5,1.6,3.2,23,81.2,71.8,2
Ethiopia,104957,105,99.7,59917,602.8,40.5,16,43.5,5.7,1724,19121,19.5,4.6,45.8,148,65.5,61.9,4
Fiji,906,49.6,103.1,4391,4921.9,11.3,18.1,70.7,7.7,926,2316,53.7,2.6,16,291,72.9,66.9,3
Finland,5523,18.2,97.2,231960,42148.1,2.5,26.8,70.6,8.9,57326,60502,84.2,1.8,2.3,36,83.7,77.7,1
France,64980,118.7,96.7,2418946,36304.2,1.7,19.5,78.8,9.8,488885,560555,79.5,2,3.4,278,85,78.8,1
Gabon,2025,7.9,105.6,13735,7960.7,3.8,54.5,41.7,18.1,2851,2930,87.2,4,40.8,270,65.8,63.1,3
Gambia,2101,207.6,98,942,473.2,21.1,14.9,64,29.7,32,471,59.6,5.6,49.8,67,61.6,59.1,4
Georgia,3912,56.3,91.4,13965,3491.4,9,24.1,66.9,11.4,2114,7236,53.6,2,11.2,120,77,68.5,2
Germany,82114,235.6,97,3363600,41686.2,0.6,30.5,68.9,4.2,1340752,1060672,75.3,1.4,3.4,116,82.9,77.9,1
